Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
NVDL,66.39,2024/12/31,16:00 EST,-3.2399979,70.13,70.2789,65.97,11795701,,,,,,,,
SOXL,27.31,2024/12/31,16:00 EST,-0.630001,28.2,28.57,26.935,60781300,20241002,34.97,1.145,0.0,,,,
SOXL,27.31,2024/12/31,16:00 EST,-0.630001,28.2,28.57,26.935,60781300,20240717,53.3999,4.0,0.0,,,,
SOXL,27.31,2024/12/31,16:00 EST,-0.630001,28.2,28.57,26.935,60781300,20240906,29.17,1.0,0.0,,,,
SOXL,27.31,2024/12/31,16:00 EST,-0.630001,28.2,28.57,26.935,60781300,20240816,39.7189,1.0,0.0,,,,
SOXL,27.31,2024/12/31,16:00 EST,-0.630001,28.2,28.57,26.935,60781300,20240731,42.4689,0.873,0.0,,,,
TSLA,403.84,2024/12/31,16:00 EST,-13.570007,423.79,427.93,402.54,73344478,20241231,415.4702,0.082,0.0,,,,
TSLA,403.84,2024/12/31,16:00 EST,-13.570007,423.79,427.93,402.54,73344478,20241011,220.3304,1.0,0.0,,,,
TSLA,403.84,2024/12/31,16:00 EST,-13.570007,423.79,427.93,402.54,73344478,20221006,243.0,1.0,0.0,,,,
TSLA,403.84,2024/12/31,16:00 EST,-13.570007,423.79,427.93,402.54,73344478,20240620,182.413,1.971,0.0,,,,
TSLA,403.84,2024/12/31,16:00 EST,-13.570007,423.79,427.93,402.54,73344478,20220926,282.0,0.3015,0.0,,,,
TSLA,403.84,2024/12/31,16:00 EST,-13.570007,423.79,427.93,402.54,73344478,20240606,173.3848,0.385,0.0,,,,
TSLA,403.84,2024/12/31,16:00 EST,-13.570007,423.79,427.93,402.54,73344478,20241115,318.1132,0.112,1.019,,,,
TSLA,403.84,2024/12/31,16:00 EST,-13.570007,423.79,427.93,402.54,73344478,20241010,241.7555,2.0,0.0,,,,
TSLA,403.84,2024/12/31,16:00 EST,-13.570007,423.79,427.93,402.54,73344478,20221007,226.0,0.0646,0.0,,,,
TSLA,403.84,2024/12/31,16:00 EST,-13.570007,423.79,427.93,402.54,73344478,20240523,176.3944,2.383,0.0,,,,
TSLA,403.84,2024/12/31,16:00 EST,-13.570007,423.79,427.93,402.54,73344478,20221006,243.0,1.0,0.0,,,,
TSLA,403.84,2024/12/31,16:00 EST,-13.570007,423.79,427.93,402.54,73344478,20240906,223.6491,0.024,0.0,,,,
TSLA,403.84,2024/12/31,16:00 EST,-13.570007,423.79,427.93,402.54,73344478,20240624,187.8463,0.402,0.0,,,,
TSLA,403.84,2024/12/31,16:00 EST,-13.570007,423.79,427.93,402.54,73344478,20241213,425.6118,0.081,1.0,,,,
NVDA,134.29,2024/12/31,16:00 EST,-3.2000122,138.05,138.07,133.8316,154466912,20240529,114.0,10.0,0.0,,,,
AC.TO,22.26,2024/12/31,16:00 EST,0.010000229,22.31,22.49,22.195,1710388,,,,,,,,
VSP.TO,95.12,2024/12/31,15:59 EST,-0.33999634,95.58,95.74,94.75,60820,20241115,95.15,0.766,0.0,,,,
VSP.TO,95.12,2024/12/31,15:59 EST,-0.33999634,95.58,95.74,94.75,60820,20241105,93.46,0.535,0.0,,,,
VSP.TO,95.12,2024/12/31,15:59 EST,-0.33999634,95.58,95.74,94.75,60820,20241115,95.32,7.0,0.0,,,,
VSP.TO,95.12,2024/12/31,15:59 EST,-0.33999634,95.58,95.74,94.75,60820,20241017,94.79,0.544,0.0,,,,
AQN.TO,6.38,2024/12/31,16:00 EST,-0.029999733,6.36,6.47,6.35,1774762,20221006,14.99,20.0,0.0,,,,
AQN.TO,6.38,2024/12/31,16:00 EST,-0.029999733,6.36,6.47,6.35,1774762,20241106,6.55,10.0,0.0,,,,
TSL,18.07,2024/12/31,16:00 EST,-0.80000114,19.23,19.38,18.07,169017,,,,,,,,
TSLA.NE,36.82,2024/12/31,15:59 EST,-1.2099991,38.66,38.92,36.7,583559,20241108,28.7,6.0,0.0,,,,
NVDA.NE,31.4,2024/12/31,15:59 EST,-0.7399998,32.28,32.28,31.28,721736,20241108,34.52,7.0,0.0,,,,
CGL-C.TO,31.81,2024/12/31,15:59 EST,0.289999,31.68,31.86,31.68,7150,20241129,31.395,1.593,0.0,,,,